deal_id,date,manager,region,product,negotiations_held,sale,sale_amount,gm,discount,client_type,source,demo_data
1000,2026-05-16,Менеджер 4,Гродно,офисные столы,1,0,0.0,0.0,0.0,повторный,партнёр,True
1001,2026-05-16,Менеджер 1,Брест,офисные столы,1,0,0.0,0.0,0.0,новый,сайт,True
1002,2026-05-16,Менеджер 3,Брест,офисные кресла,1,0,0.0,0.0,0.0,повторный,партнёр,True
1003,2026-05-16,Менеджер 4,Гродно,офисные кресла,1,1,717.51,251.76,0.097,повторный,звонок,True
1004,2026-05-16,Менеджер 2,Брест,офисные столы,1,1,896.73,239.53,0.075,новый,реклама,True
1005,2026-05-16,Менеджер 3,Витебск,шкафы,1,1,1439.94,381.26,0.053,новый,сайт,True
1006,2026-05-16,Менеджер 4,Гродно,офисные кресла,1,1,712.6,247.78,0.092,повторный,партнёр,True
1007,2026-05-16,Менеджер 3,Гомель,офисные столы,1,1,908.31,272.78,0.045,повторный,партнёр,True
1008,2026-05-16,Менеджер 4,Гомель,офисные столы,1,1,880.75,235.22,0.066,новый,реклама,True
1009,2026-05-16,Менеджер 5,Витебск,офисные кресла,1,0,0.0,0.0,0.0,повторный,реклама,True
1010,2026-05-16,Менеджер 4,Гомель,офисные столы,1,1,699.94,218.12,0.065,новый,партнёр,True
1011,2026-05-16,Менеджер 1,Брест,офисные столы,1,0,0.0,0.0,0.0,новый,партнёр,True
1012,2026-05-16,Менеджер 2,Брест,офисные кресла,1,0,0.0,0.0,0.0,повторный,звонок,True
1013,2026-05-16,Менеджер 4,Могилёв,шкафы,1,1,1517.33,412.17,0.042,новый,партнёр,True
1014,2026-05-16,Менеджер 2,Брест,офисные столы,1,0,0.0,0.0,0.0,новый,сайт,True
1015,2026-05-16,Менеджер 3,Витебск,офисные столы,1,0,0.0,0.0,0.0,новый,партнёр,True
1016,2026-05-16,Менеджер 1,Витебск,офисные столы,1,0,0.0,0.0,0.0,новый,сайт,True
1017,2026-05-16,Менеджер 5,Гомель,офисные столы,1,1,864.84,274.76,0.16,новый,партнёр,True
1018,2026-05-16,Менеджер 3,Брест,офисные кресла,1,0,0.0,0.0,0.0,повторный,партнёр,True
1019,2026-05-16,Менеджер 1,Могилёв,офисные столы,1,0,0.0,0.0,0.0,новый,партнёр,True
1020,2026-05-16,Менеджер 5,Брест,офисные кресла,1,0,0.0,0.0,0.0,новый,сайт,True
1021,2026-05-16,Менеджер 5,Гродно,офисные кресла,1,1,536.85,154.22,0.054,новый,реклама,True
1022,2026-05-16,Менеджер 5,Витебск,шкафы,1,0,0.0,0.0,0.0,повторный,звонок,True
