deal_id,date,manager,region,product,negotiations_held,sale,sale_amount,gm,discount,client_type,source,demo_data
1033,2026-05-16,Менеджер 2,Гомель,офисные кресла,1,1,536.35,153.55,0.069,новый,партнёр,True
1015,2026-05-16,Менеджер 3,Витебск,офисные столы,1,0,0.0,0.0,0.0,новый,партнёр,True
1023,2026-05-16,Менеджер 4,Гомель,офисные столы,1,0,0.0,0.0,0.0,новый,сайт,True
1008,2026-05-16,Менеджер 4,Гомель,офисные столы,1,1,880.75,235.22,0.066,новый,реклама,True
1014,2026-05-16,Менеджер 2,Брест,офисные столы,1,0,0.0,0.0,0.0,новый,сайт,True
1079,2026-05-17,Менеджер 2,Витебск,шкафы,1,0,0.0,0.0,0.0,новый,партнёр,True
1065,2026-05-17,Менеджер 2,Гродно,шкафы,1,0,0.0,0.0,0.0,новый,сайт,True
1084,2026-05-17,Менеджер 1,Могилёв,офисные столы,1,1,659.09,169.48,0.147,новый,реклама,True
1080,2026-05-17,Менеджер 5,Могилёв,офисные кресла,1,1,717.53,201.93,0.091,новый,партнёр,True
1044,2026-05-17,Менеджер 4,Гомель,шкафы,1,0,0.0,0.0,0.0,новый,реклама,True
1132,2026-05-18,Менеджер 2,Могилёв,офисные столы,1,0,0.0,0.0,0.0,новый,партнёр,True
1135,2026-05-18,Менеджер 4,Могилёв,шкафы,1,0,0.0,0.0,0.0,новый,звонок,True
1101,2026-05-18,Менеджер 1,Гомель,шкафы,1,0,0.0,0.0,0.0,новый,сайт,True
1102,2026-05-18,Менеджер 2,Могилёв,офисные столы,1,1,751.97,238.87,0.12,новый,партнёр,True
1149,2026-05-19,Менеджер 1,Гомель,шкафы,1,0,0.0,0.0,0.0,новый,партнёр,True
1167,2026-05-19,Менеджер 4,Брест,шкафы,1,0,0.0,0.0,0.0,повторный,партнёр,True
1156,2026-05-19,Менеджер 5,Гродно,офисные кресла,1,0,0.0,0.0,0.0,повторный,реклама,True
1157,2026-05-19,Менеджер 1,Гомель,шкафы,1,0,0.0,0.0,0.0,новый,реклама,True
1177,2026-05-19,Менеджер 2,Могилёв,офисные кресла,1,1,630.56,233.04,0.093,новый,звонок,True
1168,2026-05-19,Менеджер 1,Могилёв,шкафы,1,1,1175.21,334.6,0.095,новый,звонок,True
1181,2026-05-19,Менеджер 3,Могилёв,офисные столы,1,0,0.0,0.0,0.0,новый,звонок,True
1199,2026-05-20,Менеджер 5,Гродно,офисные кресла,1,0,0.0,0.0,0.0,новый,сайт,True
1240,2026-05-20,Менеджер 4,Гродно,шкафы,1,0,0.0,0.0,0.0,новый,сайт,True
1230,2026-05-20,Менеджер 5,Брест,офисные столы,1,0,0.0,0.0,0.0,новый,партнёр,True
1239,2026-05-20,Менеджер 2,Гродно,офисные кресла,1,0,0.0,0.0,0.0,новый,сайт,True
1221,2026-05-20,Менеджер 3,Гродно,офисные столы,1,1,796.52,210.08,0.047,новый,реклама,True
1247,2026-05-21,Менеджер 4,Брест,офисные столы,1,0,0.0,0.0,0.0,повторный,сайт,True
