application_id,date,region,product,source,client_type,urgency,estimated_budget,demo_data
A1000,2026-09-13,Гомель,шкафы,реклама,новый,обычная,1075.4,True
A1001,2026-09-13,Витебск,шкафы,звонок,повторный,обычная,1266.92,True
A1002,2026-09-13,Гродно,офисные кресла,сайт,новый,обычная,614.82,True
A1003,2026-09-13,Витебск,офисные столы,реклама,новый,обычная,786.19,True
A1004,2026-09-13,Брест,шкафы,звонок,новый,обычная,1422.23,True
A1005,2026-09-13,Брест,шкафы,сайт,повторный,обычная,974.75,True
A1006,2026-09-13,Могилёв,шкафы,партнёр,повторный,обычная,1414.91,True
A1007,2026-09-13,Гомель,офисные кресла,партнёр,новый,обычная,521.42,True
A1008,2026-09-13,Могилёв,офисные столы,партнёр,новый,обычная,772.17,True
A1009,2026-09-13,Могилёв,офисные кресла,реклама,новый,обычная,683.94,True
A1010,2026-09-13,Гомель,шкафы,реклама,новый,обычная,1519.5,True
A1011,2026-09-13,Витебск,офисные столы,сайт,новый,высокая,722.47,True
A1012,2026-09-13,Гомель,офисные столы,партнёр,повторный,обычная,1105.51,True
A1013,2026-09-13,Могилёв,офисные столы,звонок,повторный,обычная,951.16,True
A1014,2026-09-13,Витебск,офисные столы,звонок,повторный,обычная,1021.37,True
A1015,2026-09-13,Витебск,офисные кресла,звонок,новый,обычная,908.94,True
A1016,2026-09-13,Витебск,шкафы,партнёр,новый,обычная,1243.11,True
A1017,2026-09-13,Брест,офисные столы,реклама,новый,обычная,999.7,True
A1018,2026-09-13,Гомель,офисные столы,партнёр,новый,обычная,1258.79,True
A1019,2026-09-13,Могилёв,офисные кресла,реклама,новый,высокая,909.55,True
A1020,2026-09-13,Брест,шкафы,партнёр,новый,обычная,1419.88,True
A1021,2026-09-13,Витебск,офисные столы,звонок,повторный,обычная,873.67,True
A1022,2026-09-13,Могилёв,офисные кресла,сайт,повторный,высокая,538.5,True
A1023,2026-09-13,Гродно,офисные кресла,звонок,новый,обычная,874.3,True
A1024,2026-09-13,Гомель,офисные кресла,реклама,повторный,обычная,544.44,True
A1025,2026-09-13,Витебск,шкафы,партнёр,новый,обычная,1346.3,True
A1026,2026-09-13,Брест,офисные столы,сайт,новый,обычная,859.81,True
A1027,2026-09-13,Витебск,офисные кресла,сайт,новый,обычная,842.45,True
A1028,2026-09-13,Брест,офисные столы,звонок,новый,высокая,750.26,True
A1029,2026-09-13,Гродно,шкафы,партнёр,повторный,обычная,1370.14,True
